fps;frame time;memory used; memory allocated;fps;drawCalls;frameTime;renderTime;gpuFrameTimeCounter;averageGpuFrameTime
54085.699999999255;1689.66;0.5999999977648258;42.25;53.09;1704.55;0;0;91520;98419.25232590921
55086.300000000745;1678.99;0.30000000074505806;41.57;53.09;1694.92;0;0;96256;98380.1754247333
56086.5;1685.66;0.6000000014901161;43.34;53.09;1685.39;0;0;94816;98345.54316295664
57086.900000002235;1693.32;0.30000000074505806;41.91;53.09;1639.34;0;0;103328;98320.48850312167
58087.60000000149;1691.82;0.19999999925494194;43.68;53.09;1675.98;0;0;95584;98303.6973457944
59088.400000002235;1709.63;0.29999999701976776;42.27;53.09;1578.95;0;0;96256;98270.87304909846
60088.60000000149;1591.68;0.5;43.93;53.09;1578.95;0;0;105760;98253.13356931301
61089.199999999255;1521.09;0.29999999701976776;42.32;53.09;1456.31;0;0;106976;98299.39964450765
62090.10000000149;1571.59;0.3999999985098839;43.97;53.09;1500.00;0;0;101312;98394.45318404479
63090.400000002235;1586.52;0.3999999985098839;42.46;53.09;1587.30;0;0;102400;98455.21538355504
64090.5;1693.83;0.4000000022351742;41.03;53.09;1734.10;0;0;96256;98470.53605940392
65090.699999999255;1691.66;0.30000000074505806;42.80;53.09;1775.15;0;0;92160;98449.2211621856
66091.19999999925;1674.16;0.3999999985098839;42.09;53.09;1685.39;0;0;96608;98448.96985617653
67091.30000000075;1680.83;0.09999999776482582;43.85;53.09;1685.39;0;0;93440;98471.5284379345
68091.5;1697.66;0.29999999701976776;42.43;53.09;1714.29;0;0;95232;98512.5003821656
69091.5;1694.00;0.19999999925494194;44.20;53.09;1587.30;0;0;96256;98489.09095471083
70091.5;1693.00;0.30000000074505806;42.77;53.09;1704.55;0;0;94208;98489.69018262724
71092.30000000075;1671.66;0.30000000074505806;41.32;53.09;1604.28;0;0;94816;98471.0280510462
72092.30000000075;1662.00;0.19999999925494194;43.06;53.09;1685.39;0;0;86016;98447.62091228491
73092.30000000075;1618.00;0.3999999985098839;41.56;53.09;1522.84;0;0;98496;98435.61652598844
74092.30000000075;1696.00;0.30000000074505806;43.33;53.09;1714.29;0;0;93632;98418.74554001576
75093.19999999925;1700.47;0.30000000074505806;41.91;53.09;1724.14;0;0;94688;98412.00310925579
76093.5;1677.50;0.09999999776482582;41.24;53.09;1754.39;0;0;102208;98405.52523215857
77093.80000000075;1707.49;0.3999999985098839;43.03;53.09;1724.14;0;0;102336;98387.86417124285
78094.19999999925;1679.33;0.30000000074505806;41.59;53.09;1704.55;0;0;94208;98354.79834116671
79094.60000000149;1708.32;0.19999999925494194;43.37;53.09;1704.55;0;0;95808;98345.35944574764
80095;1705.32;0.30000000074505806;41.96;53.09;1675.98;0;0;94624;98319.55152265812
81095;1674.00;0.09999999776482582;43.71;53.09;1694.92;0;0;94880;98344.6237273718
82095.60000000149;1660.00;0.30000000074505806;42.25;53.09;1507.54;0;0;98688;98334.37122982019
83096.10000000149;1635.18;0.30000000074505806;43.97;53.09;1639.34;0;0;96320;98339.7086175151
84096.80000000075;1675.83;0.29999999701976776;42.53;53.09;1595.74;0;0;93088;98336.3804350611
85097.10000000149;1679.50;0.19999999925494194;41.08;53.09;1630.43;0;0;96736;98331.3303121598
86097.69999999925;1684.99;0.29999999701976776;42.85;53.09;1724.14;0;0;96256;98327.67396362363
87097.69999999925;1678.00;0.3999999985098839;42.15;53.09;1630.43;0;0;96384;98343.45205479451
88098.19999999925;1681.16;0.3999999985098839;43.91;53.09;1694.92;0;0;104320;98332.84638134578
89098.69999999925;1693.15;0.29999999701976776;42.48;53.09;1704.55;0;0;91936;98320.85508576951
90098.80000000075;1706.83;0.19999999925494194;41.10;53.09;1675.98;0;0;95232;98319.54307545368
91099.30000000075;1670.16;0.30000000074505806;42.85;53.09;1621.62;0;0;98016;98302.25042492918
92099.80000000075;1707.15;0.5999999977648258;41.44;53.09;1666.67;0;0;98304;98299.24921813005
93100.80000000075;1702.30;0.4000000022351742;43.23;53.09;1648.35;0;0;92160;98285.57419116629
94101.10000000149;1700.49;0.30000000074505806;41.81;53.09;1630.43;0;0;96256;98286.16005478201
95101.10000000149;1695.00;0.19999999925494194;43.59;53.09;1694.92;0;0;94464;98269.00133191864
96101.90000000224;1678.66;0.29999999701976776;42.14;53.09;1694.92;0;0;106016;98261.09077912795
97102;1682.83;0.19999999925494194;41.41;53.09;1744.19;0;0;104448;98265.90075374108
98102.60000000149;1711.97;0.20000000298023224;43.20;53.09;1694.92;0;0;94432;98247.46494029132
99102.69999999925;1703.83;0.19999999925494194;41.78;53.09;1785.71;0;0;95808;98236.6331464687
100103.30000000075;1700.98;0.20000000298023224;43.56;53.09;1704.55;0;0;104448;98225.53993829277
101103.60000000149;1663.50;0.19999999925494194;42.10;53.09;1764.71;0;0;104416;98214.07474653205
102103.60000000149;1702.00;0.30000000074505806;43.89;53.09;1764.71;0;0;102208;98198.76087093455
103104.19999999925;1690.99;0.19999999925494194;42.46;53.09;1666.67;0;0;104448;98196.23384615385
104104.60000000149;1708.32;0.30000000074505806;41.05;53.09;1639.34;0;0;98432;98180.1581027668
105104.60000000149;1696.00;0.19999999925494194;42.83;53.09;1685.39;0;0;94176;98154.06249108289
106104.80000000075;1696.66;0.30000000074505806;41.41;53.09;1764.71;0;0;95360;98135.59488970069
107104.90000000224;1710.83;0.4000000022351742;43.19;53.09;1694.92;0;0;102400;98114.92542921672
108104.90000000224;1674.00;0.30000000074505806;42.36;53.09;1704.55;0;0;91904;98101.14643224835
109105.5;1693.98;0.30000000074505806;44.14;53.09;1754.39;0;0;94336;98092.84920759454
110105.90000000224;1689.32;0.19999999925494194;42.71;53.09;1785.71;0;0;94208;98085.92044460854
111106;1647.84;0.3999999985098839;41.23;53.09;1744.19;0;0;103936;98094.69200993703
112106.60000000149;1707.98;0.29999999701976776;43.02;53.09;1657.46;0;0;86976;98077.84191443074
113107.10000000149;1696.15;0.5999999977648258;41.59;53.09;1714.29;0;0;94208;98055.40169808823
114107.19999999925;1708.83;0.10000000149011612;43.38;53.09;1754.39;0;0;94208;98036.72570550538
115107.69999999925;1677.16;0.3999999985098839;41.94;53.09;1694.92;0;0;96256;98011.13077065923
116107.69999999925;1705.00;0.4000000022351742;43.72;53.09;1648.35;0;0;94912;98001.71501150483
117108;1709.49;0.19999999925494194;42.31;53.09;1714.29;0;0;90816;97992.00145948115
118108.30000000075;1690.49;0.30000000074505806;41.48;53.09;1639.34;0;0;84160;97973.37384039494
119108.60000000149;1701.49;0.30000000074505806;43.26;53.09;1754.39;0;0;105632;97964.09593804897
120108.69999999925;1707.83;0.3999999985098839;41.88;53.09;1724.14;0;0;96000;97950.16408360587
121109.30000000075;1671.00;0.3999999985098839;43.62;53.09;1562.50;0;0;94208;97942.93553276233
122109.90000000224;1701.98;0.6999999992549419;42.21;53.09;1754.39;0;0;94656;97944.27568852229
123110.80000000075;1716.46;0.30000000074505806;44.01;53.09;1764.71;0;0;101600;97927.08283080335
124111.30000000075;1707.15;0.3999999985098839;42.59;53.09;1612.90;0;0;101760;97918.16219002938
125112;1693.81;0.5;41.16;53.09;1621.62;0;0;94464;97912.76696265744
126112.5;1709.15;0.4000000022351742;42.95;53.09;1734.10;0;0;94208;97899.87348918978
127112.80000000075;1690.49;0.30000000074505806;41.53;53.09;1666.67;0;0;90528;97888.45984875162
128113.30000000075;1697.15;0.30000000074505806;43.30;53.09;1675.98;0;0;98848;97884.30331059724
129113.60000000149;1690.49;0.30000000074505806;42.47;53.09;1764.71;0;0;94208;97871.22308047798
130113.60000000149;1714.00;0.29999999701976776;41.06;53.09;1714.29;0;0;100896;97861.63540796777
131114.30000000075;1690.82;0.6999999992549419;42.83;53.09;1562.50;0;0;104160;97842.48579273147
132114.90000000224;1682.99;0.19999999925494194;41.39;53.09;1744.19;0;0;95552;97848.30681433476
133115.1000000015;1712.66;0.19999999925494194;43.19;53.09;1685.39;0;0;93440;97842.45819205426
134115.6000000015;1716.14;0.29999999701976776;41.78;53.09;1764.71;0;0;93792;97829.10076486084
135115.69999999925;1696.83;0.20000000298023224;43.56;53.09;1704.55;0;0;94208;97819.14995747898
